,ds,y
902,1998-07-29,839753200.0
903,1998-07-30,779154625.0
904,1998-07-31,858535890.625
905,1998-08-03,1167278531.25
906,1998-08-04,1614801200.0
907,1998-08-05,2355767700.0
908,1998-08-06,1425381825.0
909,1998-08-07,1318644675.0
910,1998-08-10,680620500.0
911,1998-08-11,1526933812.5
912,1998-08-12,1212778600.0
913,1998-08-13,974310012.5
914,1998-08-14,915699562.5
915,1998-08-17,1223553750.0
916,1998-08-18,839280462.5
917,1998-08-19,689032743.75
918,1998-08-20,810143925.0
919,1998-08-21,1811408737.5
920,1998-08-24,786785725.0
